benchmarks FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
Twitter 0.002 0.001 0.000 -0.001 0.001 0.001 -0.002 0.001
MetaKV 0.001 0.000 0.001 0.000 0.000 -0.000 -0.002 0.000
MetaCDN 0.002 -0.001 0.004 -0.007 0.001 -0.004 -0.009 0.003
TencentPhoto 0.000 0.002 0.003 0.000 0.001 -0.012 -0.039 0.003
Wikimedia 0.004 0.003 0.005 0.003 0.002 0.004 0.003 0.003
Tencent 0.009 0.007 0.003 0.002 0.004 0.013 0.025 -0.009
Systor 0.010 0.011 0.012 0.006 0.004 0.010 -0.008 0.007
fiu 0.222 0.198 0.019 0.138 0.049 0.301 0.281 0.056
MSR 0.170 0.157 0.091 0.157 0.051 0.229 0.228 0.023
Alibaba 0.013 0.009 0.007 0.003 0.004 0.015 0.010 0.002
CloudPhysics 0.144 0.088 0.054 0.050 0.014 0.167 0.157 0.033
