policy P1 P5 P10 P50 average
FlexCache 0.889 0.925 0.941 0.990 0.978
S3FIFO 0.855 0.924 0.940 0.990 0.977
ARC 0.734 0.871 0.905 0.979 0.957
Cacheus 0.770 0.873 0.903 0.985 0.957
LeCaR 0.678 0.830 0.871 0.983 0.948
LIRS 0.889 0.935 0.948 0.990 0.980
WTinyLFU 0.832 0.925 0.951 0.994 0.981
GDSF 0.674 0.760 0.800 0.937 0.912
Hyperbolic 0.636 0.777 0.824 0.963 0.927
LHD 0.657 0.747 0.787 0.905 0.883
S4LRU 0.804 0.850 0.878 0.981 0.958
TwoQ 0.775 0.912 0.935 0.989 0.972
Clock 0.663 0.820 0.864 0.978 0.942
FIFO 0.629 0.783 0.822 0.952 0.917
FIFO-Merge 0.689 0.747 0.791 0.946 0.914
QDLP 0.858 0.918 0.938 0.992 0.977
