policy P1 P5 P10 P50 average
FlexCache 0.793 0.890 0.921 0.991 0.971
S3FIFO 0.693 0.869 0.912 0.990 0.965
ARC 0.261 0.651 0.799 0.961 0.895
Cacheus 0.578 0.779 0.861 0.977 0.940
LeCaR 0.265 0.667 0.795 0.960 0.895
LIRS 0.260 0.818 0.907 0.987 0.933
WTinyLFU 0.259 0.733 0.881 0.972 0.920
GDSF 0.231 0.476 0.629 0.899 0.000
Hyperbolic 0.274 0.619 0.772 0.946 0.882
LHD 0.407 0.572 0.656 0.837 0.000
S4LRU 0.085 0.368 0.755 0.974 0.854
TwoQ 0.602 0.812 0.873 0.977 0.945
Clock 0.255 0.623 0.771 0.952 0.884
FIFO 0.253 0.584 0.715 0.915 0.850
FIFO-Merge 0.407 0.671 0.768 0.930 0.881
