policy P1 P5 P10 P50 average
FlexCache 0.874 0.922 0.939 0.989 0.977
S3FIFO 0.755 0.913 0.934 0.990 0.971
ARC 0.636 0.850 0.894 0.979 0.950
Cacheus 0.643 0.851 0.891 0.984 0.952
LeCaR 0.562 0.794 0.860 0.981 0.939
LIRS 0.872 0.935 0.949 0.990 0.980
WTinyLFU 0.815 0.916 0.945 0.993 0.979
GDSF 0.601 0.750 0.789 0.935 0.905
Hyperbolic 0.526 0.764 0.808 0.960 0.918
LHD 0.638 0.736 0.781 0.904 0.882
S4LRU 0.785 0.847 0.878 0.980 0.957
TwoQ 0.703 0.882 0.925 0.987 0.963
Clock 0.545 0.782 0.852 0.976 0.933
FIFO 0.512 0.745 0.807 0.949 0.905
FIFO-Merge 0.673 0.749 0.788 0.943 0.909
QDLP 0.773 0.907 0.930 0.991 0.972
