policy P1 P5 P10 P50 average
FlexCache 0.777 0.902 0.938 0.990 0.974
S3FIFO 0.728 0.882 0.935 0.990 0.969
ARC 0.543 0.762 0.841 0.975 0.935
Cacheus 0.619 0.823 0.879 0.978 0.946
LeCaR 0.463 0.730 0.797 0.974 0.919
LIRS 0.840 0.913 0.937 0.989 0.974
WTinyLFU 0.752 0.893 0.925 0.989 0.971
GDSF 0.492 0.708 0.767 0.912 0.878
Hyperbolic 0.460 0.729 0.788 0.948 0.901
LHD 0.539 0.673 0.724 0.868 0.000
S4LRU 0.646 0.838 0.866 0.973 0.938
TwoQ 0.618 0.822 0.897 0.986 0.955
Clock 0.437 0.713 0.777 0.968 0.910
FIFO 0.414 0.680 0.743 0.936 0.882
FIFO-Merge 0.592 0.735 0.774 0.930 0.894
QDLP 0.743 0.881 0.929 0.990 0.968
