policy P1 P5 P10 P50 average
FlexCache 0.882 0.924 0.947 0.995 0.984
S3FIFO 0.857 0.915 0.945 0.994 0.979
ARC 0.821 0.896 0.936 0.991 0.974
Cacheus 0.824 0.910 0.941 0.994 0.976
LeCaR 0.789 0.879 0.926 0.995 0.971
LIRS 0.898 0.942 0.958 0.992 0.985
WTinyLFU 0.884 0.952 0.969 0.995 0.987
GDSF 0.756 0.805 0.859 0.978 0.952
Hyperbolic 0.791 0.850 0.881 0.978 0.955
LHD 0.778 0.840 0.870 0.956 0.938
S4LRU 0.827 0.898 0.922 0.992 0.975
TwoQ 0.854 0.911 0.931 0.983 0.967
Clock 0.787 0.868 0.910 0.991 0.966
FIFO 0.730 0.856 0.882 0.965 0.943
FIFO-Merge 0.769 0.815 0.850 0.964 0.942
QDLP 0.856 0.916 0.948 0.998 0.982
