policy P1 P5 P10 P50 average
FlexCache 0.792 0.932 0.951 0.984 0.973
S3FIFO 0.719 0.911 0.946 0.984 0.971
ARC 0.537 0.881 0.926 0.985 0.954
Cacheus 0.565 0.802 0.883 0.973 0.945
LeCaR 0.322 0.597 0.697 0.946 0.885
LIRS 0.794 0.907 0.935 0.978 0.967
WTinyLFU 0.710 0.839 0.888 0.989 0.961
GDSF 0.325 0.658 0.799 0.949 0.899
Hyperbolic 0.361 0.602 0.724 0.933 0.870
LHD 0.547 0.793 0.828 0.964 0.938
S4LRU 0.420 0.633 0.833 0.963 0.914
TwoQ 0.583 0.865 0.920 0.977 0.955
Clock 0.323 0.600 0.711 0.942 0.881
FIFO 0.315 0.575 0.666 0.915 0.855
FIFO-Merge 0.510 0.651 0.793 0.942 0.896
QDLP 0.731 0.906 0.942 0.982 0.968
