policy P1 P5 P10 P50 average
FlexCache 0.879 0.936 0.948 0.988 0.979
S3FIFO 0.827 0.923 0.943 0.988 0.975
ARC 0.745 0.884 0.913 0.987 0.964
Cacheus 0.722 0.879 0.905 0.982 0.958
LeCaR 0.657 0.837 0.879 0.979 0.948
LIRS 0.877 0.927 0.939 0.987 0.976
WTinyLFU 0.809 0.905 0.940 0.998 0.979
GDSF 0.665 0.828 0.865 0.968 0.938
Hyperbolic 0.621 0.812 0.857 0.956 0.927
LHD 0.786 0.870 0.907 0.984 0.964
S4LRU 0.714 0.854 0.876 0.967 0.945
TwoQ 0.730 0.896 0.937 0.988 0.971
Clock 0.624 0.818 0.861 0.971 0.937
FIFO 0.591 0.788 0.842 0.952 0.920
FIFO-Merge 0.699 0.828 0.861 0.957 0.932
QDLP 0.831 0.916 0.934 0.987 0.972
